Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Colombia,1303218700.0,1359873954.0,1421374301.0,1484711019.0,1551420471.0,1610040728.0,1669499252.0,1733270482.0,1797884205.0,1852911658.0,1909127374.0,1964378849.0,2019232075.0,2075960322.0,2130511733.0,2190762489.0,2252959841.0,2314531348.0,2381757865.0,2453609479.0,2528909899.0,2604652996.0,2684003284.0,2773003336.0,2856418874.0,2942441131.0,3028814117.0,3110040939.0
Comoros,1007600.0,1073552.0,1139504.0,1209120.0,1278736.0,1352016.0,1428960.0,1509568.0,1597504.0,1689104.0,1791696.0,1894288.0,1996880.0,2128784.0,2271680.0,2410912.0,2572128.0,2674720.0,2780976.0,2912880.0,3074096.0,3209664.0,3352560.0,3528432.0,3682320.0,3850231.0,4031600.0,4221082.0
Democratic Republic of Congo,23820915.0,24815749.0,26084010.0,27392501.0,29531638.0,31087476.0,32797516.0,35136779.0,35913547.0,36734283.0,37780113.0,38545889.0,39121137.0,40037137.0,40986113.0,41957561.0,43064195.0,44265538.0,45561883.0,47293460.0,49262904.0,51511409.0,54462194.0,57520011.0,60561086.0,63789505.0,67163659.0,70573384.0
Cook Islands,545936.0,582576.0,619216.0,659520.0,699824.0,740128.0,787760.0,835392.0,883024.0,930656.0,978288.0,1011264.0,1040576.0,1073552.0,1128512.0,1190800.0,1256752.0,1322704.0,1392320.0,1461936.0,1531552.0,1601168.0,1670784.0,1740400.0,1810016.0,1885986.0,1962827.0,2044872.0
Costa Rica,59675310.0,62962575.0,66703795.0,70594794.0,75795128.0,80597013.0,85283749.0,90200414.0,95435874.0,100874870.0,106269346.0,111935265.0,118161701.0,124690242.0,131488246.0,138175406.0,145140687.0,153032352.0,160942812.0,168622068.0,176050078.0,183634515.0,191241509.0,198672733.0,206259796.0,214431896.0,222997581.0,231692589.0
Cote d'Ivoire,113452096.0,117760960.0,121604496.0,126697456.0,130830448.0,136945664.0,144280992.0,151293888.0,157878096.0,163817440.0,170280736.0,177678352.0,184636288.0,189769552.0,197104880.0,204601424.0,211412800.0,217949376.0,224540912.0,230055232.0,236119152.0,242465200.0,250808128.0,260338192.0,270077104.0,280931213.0,291688755.0,303413163.0
Croatia,442895236.0,460199421.0,476831969.0,493935684.0,510296901.0,527336998.0,544966207.0,563659149.0,583057391.0,603299128.0,623114863.0,644081561.0,666135532.0,689521817.0,712566572.0,736056106.0,759781745.0,784837970.0,808623267.0,830618773.0,851863857.0,872665530.0,891908503.0,910496681.0,928347354.0,946343922.0,964565396.0,981746998.0
Cuba,853021758.0,882572988.0,913705975.0,942990085.0,975136843.0,1000723041.0,1027595529.0,1052104632.0,1076462057.0,1101645008.0,1127589248.0,1152921436.0,1178887032.0,1204242143.0,1229108093.0,1254955740.0,1282183908.0,1308781347.0,1339027394.0,1368732563.0,1406904738.0,1442676586.0,1478603454.0,1513192442.0,1547825532.0,1583826337.0,1620492822.0,1656996984.0
Curacao,289405389.0,293109875.0,296161920.0,300873299.0,305390200.0,309860050.0,314041320.0,318417068.0,318658597.0,320468494.0,325270838.0,330161010.0,334875526.0,339593178.0,344542948.0,349448805.0,354561686.0,360317598.0,365853938.0,371518885.0,375420985.0,380398987.0,386393291.0,391603499.0,397480555.0,403615931.0,409870389.0,416123737.0
Cyprus,80488180.0,85619999.0,91127155.0,96878525.0,102872548.0,108736864.0,114951341.0,121252542.0,127846296.0,134707091.0,141815951.0,148798192.0,155968972.0,163529207.0,171316958.0,179289128.0,187449973.0,195922586.0,204556779.0,212939378.0,220957255.0,228657450.0,235827377.0,242322236.0,249200779.0,256103650.0,263411449.0,270926137.0
Czechia,4997333100.0,5145845576.0,5289919795.0,5427882462.0,5559414971.0,5691387031.0,5826035745.0,5956885459.0,6082011122.0,6198452704.0,6325349618.0,6452015990.0,6575614020.0,6702662394.0,6830421719.0,6955716250.0,7082096541.0,7210277275.0,7333211143.0,7448466426.0,7565961978.0,7680985280.0,7791899361.0,7898300552.0,8002360859.0,8107145417.0,8213688712.0,8321584468.0
Czechoslovakia,11040793488.0,11241448784.0,11241448784.0,11241448784.0,11241448784.0,11241448784.0,11241448784.0,11241448784.0,11241448784.0,11241448784.0,11241448784.0,11241448784.0,11241448784.0,11241448784.0,11241448784.0,11241448784.0,11241448784.0,11241448784.0,11241448784.0,11241448784.0,11241448784.0,11241448784.0,11241448784.0,11241448784.0,11241448784.0,11241448784.0,11241448784.0,11241448784.0
Democratic Republic of the Congo,130363040.0,133301447.0,136099686.0,138676947.0,140299486.0,142399551.0,144692988.0,146579420.0,148234260.0,149600479.0,150397985.0,151214392.0,152115646.0,153068558.0,154226067.0,155671371.0,157224661.0,158920878.0,160731713.0,162426996.0,164390334.0,166829035.0,169181202.0,172719331.0,177350595.0,182054375.0,182054375.0,186868045.0
